id,inclinacion_peligrosa
5,0
8,1
27,0
33,1
58,1
59,1
70,0
81,0
94,1
96,0
107,0
108,0
112,0
117,0
124,0
153,0
170,0
185,0
188,0
190,0
195,0
196,0
211,0
213,0
218,0
226,0
231,0
235,0
242,0
245,0
252,0
259,0
266,0
268,0
293,0
316,0
317,0
326,0
335,0
338,0
339,0
348,0
352,0
353,0
357,0
360,0
398,0
400,0
408,0
410,0
419,0
422,0
423,0
426,0
427,0
433,0
438,0
458,0
468,0
469,0
473,0
474,0
487,0
508,0
511,0
514,0
516,0
524,0
540,0
541,0
543,0
544,0
552,0
558,0
562,1
564,0
565,0
583,0
597,0
599,0
603,0
605,0
609,0
610,0
618,1
655,0
656,0
658,0
664,0
671,0
672,1
678,0
679,0
680,0
684,0
698,1
700,1
715,0
716,0
727,0
728,0
729,0
730,0
744,0
748,0
752,0
754,0
780,0
791,0
805,0
808,0
818,0
819,0
838,0
853,0
859,0
860,0
864,0
868,0
869,0
871,0
875,0
880,0
892,0
894,0
895,0
898,0
908,0
914,0
921,0
922,0
923,0
924,0
926,0
931,0
941,0
948,0
949,0
951,0
956,1
969,0
970,0
972,0
973,0
977,1
979,1
985,1
986,0
993,0
995,1
996,1
1030,0
1034,0
1035,0
1036,0
1039,0
1061,0
1067,0
1075,0
1090,0
1102,0
1117,0
1119,0
1123,0
1127,0
1131,0
1136,0
1147,0
1162,0
1184,0
1190,0
1192,0
1198,0
1199,0
1204,0
1206,0
1210,0
1218,0
1221,0
1222,0
1228,0
1235,0
1245,0
1249,0
1278,0
1286,0
1288,0
1290,0
1292,0
1295,0
1297,0
1300,0
1302,0
1308,0
1311,0
1314,0
1321,0
1335,0
1337,0
1346,0
1353,0
1359,0
1363,0
1370,0
1372,0
1374,0
1380,0
1385,0
1386,0
1388,0
1395,0
1396,0
1403,0
1406,1
1413,0
1420,0
1430,0
1434,0
1463,0
1467,0
1487,0
1495,0
1499,0
1500,0
1502,0
1518,0
1525,0
1535,0
1548,0
1554,0
1555,0
1563,0
1581,0
1588,0
1592,0
1595,0
1596,0
1601,0
1604,0
1622,0
1624,0
1636,0
1659,0
1663,0
1682,0
1683,0
1689,0
1692,0
1716,0
1717,0
1719,0
1725,0
1727,0
1752,0
1757,1
1773,0
1777,0
1785,0
1787,0
1805,0
1808,0
1841,0
1846,0
1857,0
1875,0
1887,0
1889,0
1894,0
1896,0
1897,0
1901,0
1917,0
1923,0
1929,0
1946,0
1949,0
1954,0
1973,0
1974,0
2007,1
2022,1
2033,1
2035,0
2036,1
2037,1
2047,1
2060,0
2072,0
2089,0
2094,0
2103,0
2115,0
2120,0
2125,1
2133,1
2147,1
2148,1
2155,0
2165,1
2167,1
2192,1
2194,0
2196,0
2208,0
2228,1
2235,0
2239,1
2241,1
2242,0
2251,0
2252,1
2253,0
2257,0
2268,1
2285,0
2304,0
2327,1
2328,1
2330,0
2332,0
2345,0
2364,0
2365,0
2368,0
2381,0
2387,0
2397,0
2401,0
2402,0
2411,0
2413,0
2421,0
2425,0
2435,0
2436,0
2439,0
2447,0
2450,0
2455,0
2466,0
2510,0
2514,0
2518,0
2524,0
2529,1
2545,1
2550,1
2553,1
2555,0
2563,0
2578,0
2580,1
2604,0
2605,0
2618,0
2619,0
2628,0
2631,0
2634,1
2636,0
2640,0
2641,0
2642,0
2643,1
2654,1
2672,1
2684,0
2696,0
2698,0
2705,1
2707,0
2718,0
2721,0
2723,0
2740,1
2764,1
2773,0
2775,0
2776,0
2783,0
2784,1
2786,1
2792,1
2809,1
2812,0
2817,0
2819,0
2822,0
2824,0
2827,0
2855,0
2858,1
2867,1
2870,0
2880,0
2881,0
2882,0
2883,0
2887,0
2906,0
2910,0
2914,0
2918,1
2924,1
2929,1
2935,0
2942,1
2963,1
2965,0
2967,1
2975,0
2989,0
2990,0
2997,0
3018,1
3038,1
3039,1
3044,1
3054,1
3056,1
3076,0
3082,0
3088,1
3096,0
3097,0
3109,1
3119,0
3120,0
3137,0
3141,1
3144,0
3149,0
3152,1
3174,1
3178,0
3186,0
3187,1
3200,1
3210,0
3218,0
3226,1
3231,0
3240,0
3242,0
3246,0
3255,0
3262,0
3269,1
3279,1
3281,1
3287,1
3292,1
3303,1
3314,1
3323,0
3333,0
3335,0
3336,0
3359,1
3361,0
3367,0
3375,0
3396,1
3408,0
3411,1
3422,0
3425,0
3427,0
3433,0
3439,0
3466,0
3478,0
3485,0
3494,0
3518,1
3530,0
3533,0
3556,1
3561,1
3571,0
3575,0
3588,0
3590,1
3594,0
3596,1
3597,1
3600,0
3630,0
3634,0
3636,0
3651,0
3660,1
3674,0
3678,0
3683,0
3684,0
3689,0
3704,1
3716,1
3719,1
3731,0
3733,1
3737,1
3739,1
3747,0
3759,0
3774,0
3776,0
3793,0
3801,0
3807,1
3825,1
3826,1
3828,0
3830,0
3841,0
3845,1
3848,0
3857,0
3862,0
3865,0
3867,0
3869,1
3883,0
3893,0
3904,0
3918,0
3921,1
3922,0
3928,0
3933,0
3942,1
3943,1
3950,0
3960,0
3963,1
3969,0
3971,0
3976,1
3979,1
3986,1
3988,1
4002,0
4010,1
4012,1
4026,1
4033,1
4060,0
4061,0
4064,0
4065,0
4071,0
4072,0
4076,0
4092,0
4105,0
4127,1
4131,0
4136,0
4141,1
4154,0
4158,0
4173,1
4178,1
4180,1
4185,0
4192,0
4209,0
4222,0
4224,0
4227,0
4233,1
4240,1
4250,0
4263,0
4282,1
4290,0
4295,0
4303,0
4309,0
4316,1
4322,0
4330,1
4335,0
4336,0
4349,0
4359,0
4364,1
4368,1
4382,0
4387,0
4390,1
4403,0
4407,1
4411,0
4422,1
4423,0
4431,1
4453,0
4460,0
4469,1
4475,0
4479,0
4488,0
4490,0
4494,0
4498,0
4503,1
4507,1
4515,1
4519,1
4523,0
4526,1
4547,0
4552,0
4553,0
4578,0
4589,1
4592,1
4598,0
4605,0
4611,0
4622,1
4623,0
4624,0
4634,0
4646,1
4665,0
4666,0
4670,0
4690,0
4700,0
4702,0
4706,0
4709,0
4712,0
4714,0
4720,0
4728,1
4733,1
4735,0
4738,1
4750,1
4751,0
4753,1
4770,0
4780,0
4788,0
4816,0
4817,0
4820,0
4822,0
4830,0
4846,0
4862,0
4881,0
4886,0
4894,0
4895,0
4915,0
4927,0
4929,0
4931,0
4941,0
4945,0
4947,0
4962,0
4964,1
4968,0
4976,0
4982,0
4994,0
4998,1
5010,0
5020,0
5025,0
5036,0
5042,0
5053,0
5060,0
5064,0
5067,0
5079,0
5082,0
5088,0
5091,0
5094,0
5098,0
5107,0
5121,0
5126,0
5131,0
5134,0
5135,0
5137,0
5155,1
5156,0
5173,0
5184,0
5194,0
5199,0
5203,0
5204,0
5206,0
5207,0
5208,1
5210,0
5231,0
5234,0
5238,0
5242,0
5249,0
5261,0
5283,0
5284,0
5287,0
5290,0
5298,0
5301,0
5314,0
5316,0
5325,0
5329,0
5331,0
5349,0
5354,0
5370,0
5379,0
5380,0
5395,1
5409,0
5413,0
5425,0
5436,0
5440,0
5441,0
5456,0
5458,1
5481,0
5494,0
5510,0
5516,0
5517,0
5519,0
5520,0
5524,0
5534,1
5539,0
5544,0
5548,1
5550,0
5556,0
5561,0
5564,0
5574,0
5577,0
5587,0
5589,1
5597,0
5604,0
5606,0
5608,0
5610,0
5621,0
5622,0
5631,0
5638,0
5641,0
5647,0
5658,0
5677,0
5686,0
5696,0
5702,0
5704,0
5715,0
5718,0
5722,0
5724,0
5732,0
5733,0
5743,0
5752,0
5769,0
5770,0
5773,0
5781,0
5801,0
5802,0
5803,0
5812,0
5815,0
5832,0
5837,0
5839,0
5847,0
5855,0
5857,0
5859,1
5867,0
5872,1
5888,0
5893,0
5898,1
5908,0
5917,0
5928,0
5932,0
5936,0
5955,0
5960,0
5964,0
5966,0
5991,0
5992,0
6006,0
6010,0
6024,1
6035,0
6053,0
6066,0
6075,0
6078,1
6083,0
6084,0
6097,0
6113,1
6114,1
6126,1
6144,0
6153,0
6159,1
6169,1
6172,0
6188,0
6189,0
6192,0
6197,0
6201,0
6209,0
6213,1
6220,0
6224,0
6227,0
6237,0
6240,0
6243,0
